,stand,on_3b,on_2b,on_1b,outs_when_up,inning,sv_id,release_spin_rate,pitch_number,opp_score,nats_score,if_fielding_alignment,of_fielding_alignment,nats_home1_away0,balls_strikes,all_runners
40,R,0,0,0,0,4,190925_001714,1700.0,4,4,1,Standard,Standard,1,1_2,fb:0_sb:0_tb:0
2237,R,0,0,0,2,2,190426_232651,2516.0,3,0,0,Standard,Standard,1,1_1,fb:0_sb:0_tb:0
1958,L,0,0,0,0,6,190507_014522,2610.0,1,2,2,Infield shift,Standard,0,0_0,fb:0_sb:0_tb:0
2383,R,0,0,0,2,7,190414_191721,1477.0,3,3,3,Standard,Standard,1,0_2,fb:0_sb:0_tb:0
1127,L,0,0,0,2,3,190619_234917,2506.0,4,0,1,Strategic,Standard,1,2_1,fb:0_sb:0_tb:0
103,L,0,0,1,2,7,190918_192832,2284.0,3,3,1,Infield shift,Standard,0,2_0,fb:1_sb:0_tb:0
2747,R,0,0,0,2,2,190328_172951,2227.0,1,1,0,Standard,Standard,1,0_0,fb:0_sb:0_tb:0
2019,L,0,0,1,0,2,190507_001903,2521.0,3,1,2,Infield shift,Standard,0,0_2,fb:1_sb:0_tb:0
2669,L,0,0,0,1,8,190328_190638,2383.0,3,1,0,Infield shift,Standard,1,1_1,fb:0_sb:0_tb:0
1527,L,0,0,0,1,5,190527_182032,2818.0,2,1,0,Infield shift,Standard,1,0_1,fb:0_sb:0_tb:0
362,R,0,0,0,1,3,190908_181507,2408.0,1,1,4,Standard,Standard,0,0_0,fb:0_sb:0_tb:0
817,L,0,0,0,0,2,190706_203226,1364.0,4,0,1,Infield shift,Standard,1,1_2,fb:0_sb:0_tb:0
2199,R,0,0,0,1,5,190427_001538,2556.0,5,1,2,Standard,Standard,1,2_2,fb:0_sb:0_tb:0
1580,R,0,0,0,0,2,190527_172624,2475.0,3,0,0,Standard,Strategic,1,0_2,fb:0_sb:0_tb:0
285,L,0,0,1,0,2,190913_232549,1437.0,3,0,0,Infield shift,Standard,1,2_0,fb:1_sb:0_tb:0
1314,R,0,0,0,0,5,190609_033353,2490.0,2,0,4,Standard,Standard,0,0_1,fb:0_sb:0_tb:0
410,L,0,0,0,2,6,190904_004008,1422.0,3,4,1,Standard,Standard,1,0_2,fb:0_sb:0_tb:0
700,R,0,0,1,2,3,190725_205005,2747.0,1,0,0,Standard,Standard,1,0_0,fb:1_sb:0_tb:0
1244,L,0,0,0,1,3,190614_234021,2711.0,1,1,0,Standard,Standard,1,0_0,fb:0_sb:0_tb:0
1772,R,0,0,0,2,3,190517_235130,2344.0,1,3,0,Standard,Standard,1,0_0,fb:0_sb:0_tb:0
2473,R,0,1,1,0,7,190407_195020,2553.0,2,1,12,Standard,Standard,0,1_0,fb:1_sb:1_tb:0
2478,L,0,0,0,0,7,190407_194740,2466.0,2,1,12,Standard,Standard,0,0_1,fb:0_sb:0_tb:0
1524,R,0,0,0,2,5,190527_182148,1793.0,3,1,0,Standard,Standard,1,1_1,fb:0_sb:0_tb:0
511,L,0,0,0,0,5,190829_002929,2444.0,3,1,5,Infield shift,Standard,1,2_0,fb:0_sb:0_tb:0
741,L,0,0,0,0,1,190725_200612,2711.0,2,0,0,Infield shift,Standard,1,0_1,fb:0_sb:0_tb:0
2045,L,0,0,0,0,1,190506_235613,2501.0,3,0,2,Standard,Standard,0,1_1,fb:0_sb:0_tb:0
1607,R,0,0,0,0,6,190523_011046,1467.0,4,0,1,Standard,Standard,0,1_2,fb:0_sb:0_tb:0
407,L,0,0,0,2,6,190904_004131,2862.0,6,4,1,Standard,Standard,1,2_2,fb:0_sb:0_tb:0
124,R,0,1,1,2,6,190918_190720,,1,2,0,Standard,Standard,0,0_0,fb:1_sb:1_tb:0
2548,R,1,0,0,0,2,190407_174749,2527.0,1,0,5,Standard,Strategic,0,0_0,fb:0_sb:0_tb:1
930,L,0,1,0,2,2,190630_174042,1579.0,6,0,0,Standard,Strategic,0,3_2,fb:0_sb:1_tb:0
661,R,0,0,1,1,5,190725_213741,2188.0,4,3,0,Standard,Standard,1,2_1,fb:1_sb:0_tb:0
202,L,0,0,0,1,1,190918_172959,2265.0,3,0,0,Infield shift,Standard,0,1_1,fb:0_sb:0_tb:0
2036,L,0,1,0,1,1,190507_000042,1424.0,3,0,2,Standard,Standard,0,0_2,fb:0_sb:1_tb:0
2576,L,0,0,1,1,5,190403_011527,2543.0,2,2,0,Standard,Standard,1,0_1,fb:1_sb:0_tb:0
633,L,0,0,0,1,2,190822_235516,2336.0,4,0,2,Infield shift,Standard,0,2_1,fb:0_sb:0_tb:0
2300,R,0,0,0,2,4,190420_232508,1441.0,3,3,2,Strategic,Strategic,0,0_2,fb:0_sb:0_tb:0
1020,R,0,0,0,2,3,190626_000456,2358.0,2,0,3,Standard,Strategic,0,0_1,fb:0_sb:0_tb:0
1338,R,0,0,0,1,3,190609_025933,2850.0,1,0,1,Standard,Standard,0,0_0,fb:0_sb:0_tb:0
2316,R,0,1,0,2,3,190420_231002,2390.0,5,2,2,Standard,Standard,0,2_2,fb:0_sb:1_tb:0
1281,R,0,0,0,1,7,190609_040903,2396.0,4,0,4,Standard,Standard,0,2_1,fb:0_sb:0_tb:0
537,R,0,1,0,2,3,190829_000026,2416.0,3,1,5,Standard,Standard,1,2_0,fb:0_sb:1_tb:0
2469,R,0,1,1,0,7,190407_195202,2360.0,6,1,12,Standard,Standard,0,3_2,fb:1_sb:1_tb:0
2464,L,0,0,0,0,1,190414_173523,2449.0,1,0,0,Standard,Standard,1,0_0,fb:0_sb:0_tb:0
574,L,0,0,1,2,1,190828_231113,3343.0,4,0,0,Infield shift,Standard,1,1_2,fb:1_sb:0_tb:0
1715,L,0,1,0,1,6,190518_010821,2539.0,3,3,2,Standard,Standard,1,1_1,fb:0_sb:1_tb:0
283,L,0,0,1,0,2,190913_232639,2349.0,5,0,0,Infield shift,Standard,1,3_1,fb:1_sb:0_tb:0
5,R,0,0,0,2,6,190925_005640,2589.0,1,4,2,Standard,Standard,1,0_0,fb:0_sb:0_tb:0
1784,L,0,0,0,2,2,190517_233638,2482.0,3,3,0,Infield shift,Standard,1,0_2,fb:0_sb:0_tb:0
658,R,0,0,1,1,5,190725_213952,2196.0,7,3,0,Standard,Standard,1,3_2,fb:1_sb:0_tb:0
1862,L,0,0,0,1,5,190512_024050,2499.0,5,2,0,Infield shift,Standard,0,2_2,fb:0_sb:0_tb:0
1060,L,0,1,0,1,7,190620_011050,2537.0,4,0,1,Standard,Standard,1,2_1,fb:0_sb:1_tb:0
6,L,0,0,0,1,6,190925_005605,2588.0,3,4,2,Infield shift,Standard,1,0_2,fb:0_sb:0_tb:0
1845,L,0,0,0,0,6,190512_025600,2518.0,4,2,0,Standard,Standard,0,2_1,fb:0_sb:0_tb:0
1729,R,0,0,1,2,5,190518_004110,2177.0,2,3,2,Standard,Standard,1,0_1,fb:1_sb:0_tb:0
603,L,1,0,1,2,3,190823_002225,2411.0,1,1,2,Standard,Standard,0,0_0,fb:1_sb:0_tb:1
1249,R,0,0,0,0,3,190614_233822,2544.0,1,0,0,Standard,Standard,1,0_0,fb:0_sb:0_tb:0
527,L,0,0,0,0,4,190829_001402,2815.0,5,1,5,Infield shift,Standard,1,2_2,fb:0_sb:0_tb:0
686,L,0,1,0,1,4,190725_211442,2603.0,1,0,0,Standard,Standard,1,0_0,fb:0_sb:1_tb:0
914,R,0,0,0,0,4,190630_181045,2515.0,2,0,1,Standard,Standard,0,0_1,fb:0_sb:0_tb:0
1839,R,0,0,0,2,6,190512_025838,2469.0,1,2,0,Standard,Standard,0,0_0,fb:0_sb:0_tb:0
1108,L,0,0,1,1,4,190620_000804,2388.0,4,0,1,Standard,Standard,1,1_2,fb:1_sb:0_tb:0
381,L,0,0,0,1,2,190908_175615,2685.0,4,0,3,Infield shift,Standard,0,2_1,fb:0_sb:0_tb:0
963,R,0,0,1,1,8,190626_012115,2441.0,3,1,6,Standard,Standard,0,1_1,fb:1_sb:0_tb:0
2634,L,0,0,0,1,2,190403_001251,2562.0,2,0,0,Standard,Standard,1,1_0,fb:0_sb:0_tb:0
754,L,0,0,0,0,7,190706_220602,2239.0,1,0,4,Infield shift,Standard,1,0_0,fb:0_sb:0_tb:0
1320,R,0,0,0,2,4,190609_031934,,6,0,3,Standard,Standard,0,2_2,fb:0_sb:0_tb:0
161,R,0,0,0,1,4,190918_181517,2328.0,2,1,0,Infield shift,Standard,0,1_0,fb:0_sb:0_tb:0
252,R,0,0,0,0,4,190914_000347,2535.0,2,0,0,Standard,Standard,1,1_0,fb:0_sb:0_tb:0
361,R,0,0,0,1,3,190908_181520,2310.0,2,1,4,Strategic,Standard,0,1_0,fb:0_sb:0_tb:0
2246,R,0,0,0,2,1,190426_230944,2389.0,5,0,0,Standard,Standard,1,2_2,fb:0_sb:0_tb:0
1667,R,0,0,0,2,3,190522_235331,1966.0,5,0,1,Standard,Standard,0,2_2,fb:0_sb:0_tb:0
1130,L,0,0,0,2,3,190619_234801,1407.0,1,0,1,Standard,Standard,1,0_0,fb:0_sb:0_tb:0
638,R,0,0,0,2,1,190822_233551,2489.0,7,0,2,Standard,Standard,0,3_2,fb:0_sb:0_tb:0
1018,R,0,0,0,2,3,190626_000624,1411.0,4,0,3,Standard,Strategic,0,1_2,fb:0_sb:0_tb:0
720,L,0,0,0,2,2,190725_202351,2504.0,3,0,0,Standard,Standard,1,1_1,fb:0_sb:0_tb:0
2554,L,0,0,0,0,2,190407_174509,2505.0,1,0,5,Infield shift,Standard,0,0_0,fb:0_sb:0_tb:0
1215,L,0,0,0,1,5,190615_001740,1622.0,3,2,3,Standard,Standard,1,1_1,fb:0_sb:0_tb:0
292,R,0,0,1,2,1,190913_231303,2299.0,2,0,0,Standard,Standard,1,0_1,fb:1_sb:0_tb:0
439,L,0,0,0,2,4,190904_000702,,1,4,1,Standard,Standard,1,0_0,fb:0_sb:0_tb:0
2015,R,0,0,1,1,2,190507_002055,2507.0,3,1,2,Standard,Standard,0,2_0,fb:1_sb:0_tb:0
1851,L,0,0,1,2,5,190512_024712,2301.0,6,2,0,Standard,Standard,0,2_2,fb:1_sb:0_tb:0
2105,L,0,1,0,2,4,190502_000320,2470.0,4,3,0,Standard,Standard,1,3_0,fb:0_sb:1_tb:0
2724,L,0,0,0,0,4,190328_180010,2612.0,2,1,0,Infield shift,Standard,1,0_1,fb:0_sb:0_tb:0
