,pitch_type,game_date,batter,release_speed,zone,stand,home_team,on_3b,on_2b,on_1b,outs_when_up,inning,sv_id,release_spin_rate,pitch_number,opp_score,nats_score,if_fielding_alignment,of_fielding_alignment,nats_home1_away0,balls_strikes,all_runners
0,FF,2019-09-24,656514,92.7,6.0,L,WSH,0,0,1,2,6,190925_005920,2299.0,1,4,2,Infield shift,Standard,1,0_0,fb:1_sb:0_tb:0
1,CH,2019-09-24,664068,84.4,9.0,R,WSH,0,0,0,2,6,190925_005823,1494.0,5,4,2,Standard,Standard,1,1_2,fb:0_sb:0_tb:0
2,FF,2019-09-24,664068,97.4,8.0,R,WSH,0,0,0,2,6,190925_005750,2465.0,4,4,2,Standard,Standard,1,1_2,fb:0_sb:0_tb:0
3,SL,2019-09-24,664068,84.8,14.0,R,WSH,0,0,0,2,6,190925_005726,2295.0,3,4,2,Standard,Standard,1,0_2,fb:0_sb:0_tb:0
4,CU,2019-09-24,664068,79.1,4.0,R,WSH,0,0,0,2,6,190925_005705,2818.0,2,4,2,Standard,Standard,1,0_1,fb:0_sb:0_tb:0
5,FF,2019-09-24,664068,95.4,9.0,R,WSH,0,0,0,2,6,190925_005640,2589.0,1,4,2,Standard,Standard,1,0_0,fb:0_sb:0_tb:0
6,FC,2019-09-24,543543,90.1,14.0,L,WSH,0,0,0,1,6,190925_005605,2588.0,3,4,2,Infield shift,Standard,1,0_2,fb:0_sb:0_tb:0
7,CU,2019-09-24,543543,80.6,14.0,L,WSH,0,0,0,1,6,190925_005538,2794.0,2,4,2,Infield shift,Standard,1,0_1,fb:0_sb:0_tb:0
8,FF,2019-09-24,543543,95.9,3.0,L,WSH,0,0,0,1,6,190925_005520,2547.0,1,4,2,Infield shift,Standard,1,0_0,fb:0_sb:0_tb:0
9,SL,2019-09-24,516416,84.7,9.0,R,WSH,0,0,0,0,6,190925_005444,,6,4,2,Standard,Standard,1,2_2,fb:0_sb:0_tb:0
10,CH,2019-09-24,516416,84.5,14.0,R,WSH,0,0,0,0,6,190925_005416,1529.0,5,4,2,Standard,Standard,1,1_2,fb:0_sb:0_tb:0
11,FF,2019-09-24,516416,95.3,12.0,R,WSH,0,0,0,0,6,190925_005357,2526.0,4,4,2,Standard,Standard,1,1_2,fb:0_sb:0_tb:0
12,CH,2019-09-24,516416,84.9,14.0,R,WSH,0,0,0,0,6,190925_005331,1474.0,3,4,2,Standard,Standard,1,0_2,fb:0_sb:0_tb:0
13,SL,2019-09-24,516416,85.5,6.0,R,WSH,0,0,0,0,6,190925_005307,2660.0,2,4,2,Standard,Standard,1,0_1,fb:0_sb:0_tb:0
14,SL,2019-09-24,516416,84.7,8.0,R,WSH,0,0,0,0,6,190925_005245,2570.0,1,4,2,Standard,Standard,1,0_0,fb:0_sb:0_tb:0
15,FC,2019-09-24,489149,90.1,14.0,L,WSH,0,1,0,2,5,190925_004242,2322.0,4,4,2,Infield shift,Standard,1,1_2,fb:0_sb:1_tb:0
16,FF,2019-09-24,489149,95.2,12.0,L,WSH,0,1,0,2,5,190925_004156,2401.0,3,4,2,Infield shift,Standard,1,1_1,fb:0_sb:1_tb:0
17,CH,2019-09-24,489149,84.0,13.0,L,WSH,0,1,0,2,5,190925_004122,1463.0,2,4,2,Infield shift,Standard,1,1_0,fb:0_sb:1_tb:0
18,CH,2019-09-24,489149,85.7,13.0,L,WSH,0,1,0,2,5,190925_004058,1437.0,1,4,2,Infield shift,Standard,1,0_0,fb:0_sb:1_tb:0
19,FF,2019-09-24,514917,94.2,4.0,L,WSH,0,0,0,2,5,190925_004011,2426.0,5,4,2,Standard,Standard,1,3_1,fb:0_sb:0_tb:0
20,CH,2019-09-24,514917,85.5,14.0,L,WSH,0,0,0,2,5,190925_003944,1518.0,4,4,2,Standard,Standard,1,2_1,fb:0_sb:0_tb:0
21,FF,2019-09-24,514917,94.3,12.0,L,WSH,0,0,0,2,5,190925_003926,2447.0,3,4,2,Standard,Standard,1,1_1,fb:0_sb:0_tb:0
22,CU,2019-09-24,514917,79.5,4.0,L,WSH,0,0,0,2,5,190925_003905,2586.0,2,4,2,Standard,Standard,1,1_0,fb:0_sb:0_tb:0
23,FF,2019-09-24,514917,92.2,14.0,L,WSH,0,0,0,2,5,190925_003849,2356.0,1,4,2,Standard,Standard,1,0_0,fb:0_sb:0_tb:0
24,SL,2019-09-24,605400,83.0,5.0,R,WSH,0,0,0,1,5,190925_003811,2430.0,3,4,2,Standard,Standard,1,0_2,fb:0_sb:0_tb:0
25,SL,2019-09-24,605400,84.0,9.0,R,WSH,0,0,0,1,5,190925_003750,2424.0,2,4,2,Standard,Standard,1,0_1,fb:0_sb:0_tb:0
26,FF,2019-09-24,605400,92.6,9.0,R,WSH,0,0,0,1,5,190925_003736,2400.0,1,4,2,Standard,Standard,1,0_0,fb:0_sb:0_tb:0
27,CH,2019-09-24,595284,83.9,8.0,L,WSH,0,0,0,0,5,190925_003704,1576.0,4,4,2,Infield shift,Standard,1,1_2,fb:0_sb:0_tb:0
28,CH,2019-09-24,595284,83.0,14.0,L,WSH,0,0,0,0,5,190925_003640,1322.0,3,4,2,Infield shift,Standard,1,0_2,fb:0_sb:0_tb:0
29,FC,2019-09-24,595284,89.3,2.0,L,WSH,0,0,0,0,5,190925_003605,2468.0,2,4,2,Infield shift,Standard,1,0_1,fb:0_sb:0_tb:0
30,CU,2019-09-24,595284,76.9,13.0,L,WSH,0,0,0,0,5,190925_003546,2741.0,1,4,2,Infield shift,Standard,1,0_0,fb:0_sb:0_tb:0
31,FF,2019-09-24,596748,95.4,12.0,R,WSH,0,0,0,2,4,190925_002056,2490.0,4,4,1,Standard,Standard,1,1_2,fb:0_sb:0_tb:0
32,SL,2019-09-24,596748,83.8,4.0,R,WSH,0,0,0,2,4,190925_002023,2408.0,3,4,1,Standard,Standard,1,1_1,fb:0_sb:0_tb:0
33,CU,2019-09-24,596748,79.0,14.0,R,WSH,0,0,0,2,4,190925_002006,2728.0,2,4,1,Standard,Standard,1,0_1,fb:0_sb:0_tb:0
34,FF,2019-09-24,596748,94.3,6.0,R,WSH,0,0,0,2,4,190925_001946,2424.0,1,4,1,Standard,Standard,1,0_0,fb:0_sb:0_tb:0
35,FF,2019-09-24,656514,94.6,12.0,L,WSH,0,0,0,1,4,190925_001918,2497.0,2,4,1,Infield shift,Standard,1,0_1,fb:0_sb:0_tb:0
36,CU,2019-09-24,656514,79.4,13.0,L,WSH,0,0,0,1,4,190925_001857,2674.0,1,4,1,Infield shift,Standard,1,0_0,fb:0_sb:0_tb:0
37,FF,2019-09-24,664068,95.4,5.0,R,WSH,0,0,0,0,4,190925_001824,2523.0,7,4,1,Standard,Standard,1,3_2,fb:0_sb:0_tb:0
38,SL,2019-09-24,664068,85.5,4.0,R,WSH,0,0,0,0,4,190925_001759,2454.0,6,4,1,Standard,Standard,1,3_2,fb:0_sb:0_tb:0
39,SL,2019-09-24,664068,84.7,11.0,R,WSH,0,0,0,0,4,190925_001736,,5,4,1,Standard,Standard,1,2_2,fb:0_sb:0_tb:0
40,CH,2019-09-24,664068,84.9,13.0,R,WSH,0,0,0,0,4,190925_001714,1700.0,4,4,1,Standard,Standard,1,1_2,fb:0_sb:0_tb:0
41,SL,2019-09-24,664068,84.4,8.0,R,WSH,0,0,0,0,4,190925_001649,2493.0,3,4,1,Standard,Standard,1,1_1,fb:0_sb:0_tb:0
42,FF,2019-09-24,664068,94.4,6.0,R,WSH,0,0,0,0,4,190925_001628,2491.0,2,4,1,Standard,Standard,1,1_0,fb:0_sb:0_tb:0
43,FF,2019-09-24,664068,94.1,3.0,R,WSH,0,0,0,0,4,190925_001612,2474.0,1,4,1,Standard,Standard,1,0_0,fb:0_sb:0_tb:0
44,CH,2019-09-24,543543,84.1,7.0,L,WSH,0,0,0,0,4,190925_001536,1639.0,3,3,1,Infield shift,Standard,1,1_1,fb:0_sb:0_tb:0
45,CH,2019-09-24,543543,82.2,1.0,L,WSH,0,0,0,0,4,190925_001507,1411.0,2,3,1,Infield shift,Standard,1,1_0,fb:0_sb:0_tb:0
46,FF,2019-09-24,543543,92.1,11.0,L,WSH,0,0,0,0,4,190925_001453,2437.0,1,3,1,Infield shift,Standard,1,0_0,fb:0_sb:0_tb:0
47,SL,2019-09-24,516416,85.2,14.0,R,WSH,0,0,0,2,3,190924_235604,2485.0,5,3,0,Standard,Standard,1,1_2,fb:0_sb:0_tb:0
48,FF,2019-09-24,516416,95.9,6.0,R,WSH,0,0,0,2,3,190924_235535,2576.0,4,3,0,Standard,Standard,1,1_2,fb:0_sb:0_tb:0
49,SL,2019-09-24,516416,86.4,14.0,R,WSH,0,0,0,2,3,190924_235508,2466.0,3,3,0,Standard,Standard,1,0_2,fb:0_sb:0_tb:0
50,SL,2019-09-24,516416,86.4,14.0,R,WSH,0,0,0,2,3,190924_235446,2433.0,2,3,0,Standard,Standard,1,0_1,fb:0_sb:0_tb:0
51,CU,2019-09-24,516416,79.8,6.0,R,WSH,0,0,0,2,3,190924_235428,2785.0,1,3,0,Standard,Standard,1,0_0,fb:0_sb:0_tb:0
52,CH,2019-09-24,489149,85.3,13.0,L,WSH,0,0,0,1,3,190924_235343,3383.0,4,3,0,Infield shift,Standard,1,1_2,fb:0_sb:0_tb:0
53,CH,2019-09-24,489149,84.1,7.0,L,WSH,0,0,0,1,3,190924_235314,1425.0,3,3,0,Infield shift,Standard,1,1_1,fb:0_sb:0_tb:0
