Pitch,MPH,EV (MPH),Pitcher,Batter,Dist,Spin Rate,LA (°),Zone,Date,Count,Inning,Pitch Result,PA Result
FF,92.7,76.7,Max Scherzer,Adam Haseley,261,2299,38.5,6,2019-09-24,0-0,Top 6,hit_into_play,Adam Haseley flies out to center fielder Victor Robles.
CH,84.4,51.5,Max Scherzer,Scott Kingery,3,1494,-24.0,9,2019-09-24,1-2,Top 6,hit_into_play_no_out,Scott Kingery singles on a soft ground ball to third baseman Anthony Rendon.
FF,97.4,76.3,Max Scherzer,Scott Kingery,203,2465,27.1,8,2019-09-24,1-2,Top 6,foul,
SL,84.8,,Max Scherzer,Scott Kingery,,2295,,14,2019-09-24,0-2,Top 6,ball,
CU,79.1,69.2,Max Scherzer,Scott Kingery,164,2818,62.8,4,2019-09-24,0-1,Top 6,foul,
FF,95.4,,Max Scherzer,Scott Kingery,,2589,,9,2019-09-24,0-0,Top 6,called_strike,
FC,90.1,,Max Scherzer,Brad Miller,,2588,,14,2019-09-24,0-2,Top 6,swinging_strike,Brad Miller strikes out swinging.
CU,80.6,,Max Scherzer,Brad Miller,,2794,,14,2019-09-24,0-1,Top 6,swinging_strike,
FF,95.9,,Max Scherzer,Brad Miller,,2547,,3,2019-09-24,0-0,Top 6,swinging_strike,
SL,84.7,89.5,Max Scherzer,Jean Segura,4,,-25.5,9,2019-09-24,2-2,Top 6,hit_into_play,"Jean Segura grounds out, shortstop Trea Turner to first baseman Matt Adams."
CH,84.5,,Max Scherzer,Jean Segura,,1529,,14,2019-09-24,1-2,Top 6,ball,
FF,95.3,88.4,Max Scherzer,Jean Segura,280,2526,25.6,12,2019-09-24,1-2,Top 6,foul,
CH,84.9,,Max Scherzer,Jean Segura,,1474,,14,2019-09-24,0-2,Top 6,ball,
SL,85.5,84.3,Max Scherzer,Jean Segura,267,2660,22.9,6,2019-09-24,0-1,Top 6,foul,
SL,84.7,,Max Scherzer,Jean Segura,,2570,,8,2019-09-24,0-0,Top 6,called_strike,
FC,90.1,,Max Scherzer,Logan Morrison,,2322,,14,2019-09-24,1-2,Top 5,swinging_strike,Logan Morrison strikes out swinging.
FF,95.2,,Max Scherzer,Logan Morrison,,2401,,12,2019-09-24,1-1,Top 5,foul,
CH,84.0,48.5,Max Scherzer,Logan Morrison,4,1463,-21.7,13,2019-09-24,1-0,Top 5,foul,
CH,85.7,,Max Scherzer,Logan Morrison,,1437,,13,2019-09-24,0-0,Top 5,ball,
FF,94.2,101.9,Max Scherzer,Cesar Hernandez,347,2426,15.9,4,2019-09-24,3-1,Top 5,hit_into_play_no_out,Cesar Hernandez doubles (29) on a sharp line drive to center fielder Victor Robles.
CH,85.5,,Max Scherzer,Cesar Hernandez,,1518,,14,2019-09-24,2-1,Top 5,ball,
FF,94.3,,Max Scherzer,Cesar Hernandez,,2447,,12,2019-09-24,1-1,Top 5,ball,
CU,79.5,,Max Scherzer,Cesar Hernandez,,2586,,4,2019-09-24,1-0,Top 5,called_strike,
FF,92.2,,Max Scherzer,Cesar Hernandez,,2356,,14,2019-09-24,0-0,Top 5,ball,
SL,83.0,,Max Scherzer,Aaron Nola,,2430,,5,2019-09-24,0-2,Top 5,called_strike,Aaron Nola called out on strikes.
